method,number_cluster,silhouette_score,ch_score,model_specific_score,db_score
gmm_full,2,0.16066027519801207,6216.00145097069,-124545.21805531735,2.639428650145407
gmm_full,3,0.023151224410869826,4081.2571928368675,-132901.6246730183,3.7597074170305187
gmm_full,4,0.036389226211046316,3876.8572727170563,-137174.02608747897,3.1977198332273398
gmm_full,5,0.01965825707768225,3436.211297845022,-172582.6930346678,3.4394167821258086
gmm_full,6,0.012430790286665678,3044.0617084530277,-174682.01906270147,3.427796588463456
gmm_full,7,0.0019996672498806037,2640.7737206728407,-175989.57201019372,3.9741295784194777
gmm_tied,2,0.24130391564164547,3581.647358960849,-103728.30689423493,1.8113483603290987
gmm_tied,3,0.14198127510939135,6036.290263460598,-104214.9569749631,2.0195694062064473
gmm_tied,4,0.14597251116259782,5708.522801903874,-115618.84160096149,1.8546541618917063
gmm_tied,5,0.13564460720283475,6233.922752406608,-115650.86380906845,1.7615734190132684
gmm_tied,6,0.12668738944607724,5222.036572162145,-117680.15245994109,1.774002084905338
gmm_tied,7,0.10187984458312081,4769.1452455758235,-117896.3804373834,1.812669245835029
gmm_diag,2,0.15406290986307736,8396.08794818689,-106780.42041189544,2.28658692571503
gmm_diag,3,0.05974852200418157,5108.646427615244,-122786.10864522021,2.934649883165885
gmm_diag,4,0.06160253060118145,4729.841688111478,-130223.04703933031,2.617273758622221
gmm_diag,5,0.03202176429298743,3862.6970999655064,-162544.95325181689,3.596611588936276
gmm_diag,6,0.03468659140618746,3717.949383294281,-167118.6079384658,3.2463946420113365
gmm_diag,7,0.01589410762536411,3357.0698808458683,-169775.51206269834,3.2190098757150727
gmm_spherical,2,0.2135910464076649,8607.251318314919,-76743.45328249453,2.2101964710806574
gmm_spherical,3,0.12646182505862433,8307.664570213328,-86752.67225397965,1.904346065865953
gmm_spherical,4,0.12654892844813498,7325.5053108383845,-89638.63585065413,1.8739412017128627
gmm_spherical,5,0.10792233804064737,6154.272097861636,-95722.61637784727,2.164590129844868
gmm_spherical,6,0.11165383732947425,5814.758918090598,-99867.11197071557,1.942445044775244
gmm_spherical,7,0.10603533869665141,5678.872265481247,-102821.68187939632,1.8264815598112574
kmeans,2,0.18696192285158825,10527.758414431393,9059.162888700925,1.9995141263882794
kmeans,3,0.15415543432300305,9619.511535775731,7948.797894095787,1.7942931388605956
kmeans,4,0.15822478623038094,8108.993236783626,7356.919554078139,1.8039055629697016
kmeans,5,0.14358460991796826,7359.150457375788,6871.093720707997,1.7422828045042547
kmeans,6,0.15062972810174835,6972.833323887143,6437.573077297458,1.6740588476050802
kmeans,7,0.14018655002341388,6653.982876221818,6081.839466147676,1.6260211688494584
