,group
0,2
1,3
2,0
3,1
4,1
5,3
6,0
7,2
8,0
9,1
10,1
11,3
12,2
13,0
14,0
15,3
16,0
17,0
18,3
19,0
20,2
21,0
22,0
23,0
24,1
25,3
26,1
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,3
48,1
49,0
50,3
51,1
52,1
53,1
54,1
55,1
56,3
57,0
58,0
59,1
60,3
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,3
70,1
71,0
72,1
73,1
74,0
75,3
76,2
77,1
78,0
79,0
80,0
81,3
82,3
83,1
84,2
85,0
86,3
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,3
95,0
96,3
97,1
98,3
99,0
100,3
101,2
102,1
103,0
104,0
105,2
106,0
107,0
108,3
109,0
110,0
111,3
112,0
113,0
114,3
115,1
116,1
117,3
118,1
119,1
120,3
121,3
122,0
123,1
124,3
125,3
126,1
127,0
128,3
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,1
137,3
138,1
139,3
140,3
141,3
142,0
143,1
144,3
145,1
146,1
147,0
148,3
149,3
150,1
151,1
152,0
153,1
154,0
155,3
156,3
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,3
169,0
170,2
171,0
172,1
173,2
174,2
175,0
176,1
177,1
178,3
179,2
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,3
189,0
190,0
191,3
192,1
193,1
194,2
195,0
196,1
197,0
198,0
199,3
200,1
201,3
202,0
203,1
204,0
205,0
206,0
207,1
208,3
209,2
210,1
211,1
212,0
213,1
214,1
215,3
216,0
217,0
218,1
219,0
220,2
221,3
222,3
223,1
224,0
225,3
226,3
227,3
228,0
229,1
230,0
231,3
232,1
233,0
234,3
235,0
236,1
237,0
238,1
239,1
240,0
241,1
242,1
243,1
244,3
245,0
246,1
247,3
248,1
249,1
250,3
251,1
252,1
253,1
254,2
255,0
256,3
257,3
258,0
259,0
260,3
261,1
262,0
263,0
264,0
265,3
266,1
267,1
268,0
269,0
270,1
271,0
272,2
273,0
274,3
275,3
276,3
277,1
278,3
279,0
280,3
281,3
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,2
292,0
293,0
294,1
295,1
296,1
297,3
298,2
299,1
300,2
301,2
302,3
303,1
304,0
305,0
306,0
307,3
308,0
309,2
310,1
311,3
312,0
313,0
314,0
315,3
316,0
317,0
318,0
319,3
320,1
321,3
322,0
323,1
324,0
325,1
326,1
327,1
328,3
329,1
330,1
331,0
332,1
333,0
334,1
335,0
336,1
337,1
338,0
339,3
340,0
341,0
342,0
343,1
344,3
345,1
346,0
347,1
348,1
349,3
350,3
351,0
352,3
353,3
354,2
355,3
356,1
357,0
358,2
359,1
360,0
361,0
362,0
363,3
364,0
365,1
366,3
367,1
368,1
369,1
370,0
371,3
372,1
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,3
387,1
388,1
389,1
390,0
391,1
392,1
393,3
394,0
395,3
396,2
397,1
398,1
399,3
400,0
401,1
402,1
403,3
404,1
405,3
406,2
407,0
408,0
409,0
410,3
411,0
412,0
413,3
414,3
415,0
416,0
417,0
418,1
419,1
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,3
429,3
430,0
431,1
432,0
433,1
434,0
435,0
436,2
437,0
438,1
439,1
440,1
441,1
442,3
443,0
444,2
445,1
446,1
447,0
448,0
449,2
450,3
451,3
452,0
453,0
454,1
455,0
456,3
457,3
458,0
459,3
460,1
461,0
462,0
463,3
464,3
465,0
466,1
467,1
468,2
469,0
470,1
471,1
472,3
473,0
474,3
475,3
476,2
477,2
478,0
479,0
480,0
481,0
482,3
483,0
484,1
485,0
486,0
487,1
488,1
489,3
490,2
491,1
492,2
493,1
494,3
495,0
496,1
497,0
498,3
499,0
500,1
501,1
502,1
503,0
504,0
505,3
506,1
507,3
508,1
509,1
510,0
511,2
512,1
513,1
514,3
515,1
516,2
517,0
518,1
519,3
520,1
521,3
522,0
523,3
524,0
525,1
526,2
527,0
528,1
529,3
530,1
531,3
532,0
533,1
534,0
535,0
536,1
537,2
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,2
553,3
554,1
555,0
556,1
557,1
558,3
559,0
560,0
561,2
562,0
563,1
564,0
565,3
566,3
567,3
568,0
569,3
570,3
571,3
572,2
573,0
574,0
575,3
576,1
577,3
578,1
579,2
580,0
581,2
582,1
583,0
