,group
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,2
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,2
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,1
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,2
351,0
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,1
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,0
566,1
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,1
576,0
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,1
585,1
586,1
587,0
588,0
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,1
610,1
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,1
625,1
626,1
627,0
628,1
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,0
637,1
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,1
649,0
650,1
651,0
652,1
653,0
654,1
655,0
656,1
657,1
658,0
659,0
660,0
661,0
662,1
663,0
664,1
665,0
666,0
667,1
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,2
705,0
706,1
707,1
708,0
709,0
710,0
711,1
712,1
713,0
714,1
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,0
774,0
775,0
776,1
777,1
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,1
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,0
805,0
806,0
807,2
808,2
809,0
810,0
811,1
812,1
813,1
814,0
815,0
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,0
826,0
827,0
828,1
829,1
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,0
843,0
844,1
845,0
846,2
847,0
848,0
849,0
850,0
851,1
852,0
853,1
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,1
863,1
864,0
865,0
866,0
867,1
868,1
869,0
870,0
871,0
872,0
873,1
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,2
886,0
887,0
888,0
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,1
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,1
938,0
939,1
940,0
941,0
942,0
943,1
944,0
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,0
956,1
957,0
958,0
959,1
960,1
961,0
962,1
963,1
964,1
965,0
966,0
967,0
968,0
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,1
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,2
985,1
986,0
987,1
988,1
989,0
990,0
991,1
992,1
993,0
994,0
995,0
996,1
997,0
998,0
999,1
1000,0
1001,1
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,2
1046,1
1047,1
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,2
1056,1
1057,1
1058,1
1059,1
1060,0
1061,0
1062,1
1063,0
1064,0
1065,1
1066,1
1067,0
1068,0
1069,0
1070,0
1071,1
1072,0
1073,1
1074,0
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,0
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,1
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,1
1117,0
1118,1
1119,1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,1
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,1
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1161,0
1162,1
1163,0
1164,1
1165,0
1166,0
1167,0
1168,1
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,1
1192,0
1193,0
1194,0
1195,0
1196,0
1197,1
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,1
1210,2
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,0
1222,1
1223,0
1224,0
1225,0
1226,2
1227,0
1228,0
1229,0
1230,1
